state,logger,address,meas_day,meas_night,metric
VIC,NS03,"St Martin of Tours, Rosanna",74,66,LA10
VIC,NS04,"Belle Vue Primary School, Balwyn North",62,56,LA10
VIC,NS05,"Kalker Montessori Centre, Bulleen",60,55,LA10
VIC,NS06,"Marcellin College, Bulleen",67,60,LA10
VIC,NS07,"Trinity Marles Playing Fields, Bulleen",65,58,LA10
VIC,L1,"Cameron St, Brunswick",62.4,55,LAeq
VIC,L2,"Orient Grove, Brunswick",56.2,50.5,LAeq
VIC,L3,"Lux Way, Brunswick",61.6,55.3,LAeq
VIC,L4,"Wilkinson St, Brunswick",54.8,49.4,LAeq
VIC,L5,"Dawson Street, Brunswick",61.2,57.5,LAeq
VIC,L6,"Wilson Ave, Brunswick",65.8,59.6,LAeq
VIC,L7,"Brunswick Road, Brunswick",68.4,62.4,LAeq
VIC,L8,"The Avenue, Parkville",54.7,45.4,LAeq
QLD,Site 1,"22 Crag Road, Taringa",61,49,snapshot
QLD,Site 2,"115 Elizabeth Street, Toowong",51,41,snapshot
QLD,Site 3,"6 Wool Street, Toowong",56,45,snapshot
QLD,Site 4,"128 Sylvan Road, Toowong",64,54,snapshot
QLD,Site 5,"29 Valentine Street, Toowong",57,52,snapshot
QLD,Site 6,"69 Frederick Street, Toowong",67,57,snapshot
QLD,Site 7,"9 Victoria Crescent, Toowong",55,41,snapshot
QLD,Site 8,"5 Clyde Street, Brisbane City",61,53,snapshot
QLD,Site 9,"26 Lower Clifton Terrace, Red Hill",60,51,snapshot
QLD,Site 10,"7 Westbury Street, Red Hill",63,50,snapshot
QLD,Site 12,"43 Normanby Terrace, Kelvin Grove",63,52,snapshot
QLD,Site 13,"9 Horrocks Street, Toowong",56,45,snapshot
WA,Loc2,"199 Kelvin Road, Maddington",65.6,59.8,LA10
WA,Loc3,"150 Victoria Road, Kenwick",63.1,60.3,LAeq
WA,Loc4,"20 Maamba Road, Wattle Grove",53,50.4,LAeq
WA,Loc5,"44 Maamba Road, Wattle Grove",57.8,54.2,LAeq
WA,Loc6,"232 Hale Road, Forrestfield",59.8,54.9,LAeq
WA,Loc7,"5 Pulchella Street, Wattle Grove",59.1,54,LAeq
WA,Loc8,"23 Marble Place, Forrestfield",56.9,53.6,LAeq
WA,Loc9,"39 Hardey East Road, Wattle Grove",54.5,51.8,LAeq
WA,Site A (High St Fremantle),"78 Holland Street, Fremantle",57,48,LA10
WA,Site B (High St Fremantle),"302 High Street, Fremantle",71,64,LA10
WA,Site C (High St Fremantle),"332 High Street, Fremantle",72,64,LA10
WA,Site D (High St Fremantle),"368 High Street, Fremantle",72,67,LA10
WA,Loc1 (Margaret River),"167 Rosa Brook Road, Margaret River",44,32,LA10
WA,Loc2 (Margaret River),"40 Riverslea Drive, Margaret River",48,38,LA10
TAS_ACT_NT,R1,"650 Main Road, Granton TAS",59.5,55.9,LA10
TAS_ACT_NT,R2,"5 George Street, Granton TAS",54.2,51.7,LA10
TAS_ACT_NT,R3,"15 Dickenson Drive, Granton TAS",59.6,56.6,LA10
TAS_ACT_NT,R4,"4 Forest Road, Granton TAS",66.9,63.6,LA10
TAS_ACT_NT,R5,"12 Rusts Road, Granton TAS",56.8,52.9,LA10
TAS_ACT_NT,R6,"10 Nielsen Esplanade, Bridgewater TAS",57.1,52,LA10
TAS_ACT_NT,R7,"4 Hayton Place, Bridgewater TAS",51.9,48.6,LA10
TAS_ACT_NT,R8,"49 Finlay Street, Bridgewater TAS",59.3,53.6,LA10
TAS_ACT_NT,R9,"44 Old Main Road, Bridgewater TAS",54.9,50.2,LA10
TAS_ACT_NT,R14,"2 Old Main Road, Bridgewater TAS",60.5,55.1,LA10
TAS_ACT_NT,NL1,"Archbishops House, Parkes, Canberra ACT",63,56,LAeq
TAS_ACT_NT,NL2,"1 London Circuit, Canberra ACT",61,54,LAeq
TAS_ACT_NT,NL3,"Police Station and RBA, Canberra ACT",57,54,LAeq
TAS_ACT_NT,NL4,"255 London Circuit, Canberra ACT",58,53,LAeq
TAS_ACT_NT,NL5,"ANU School of Art, 61 Marcus Clarke Street, Canberra ACT",57,50,LAeq
